rental_id,user_id,age,gender,start_time,end_time,start_station,end_station,duration_minutes,price
1,101,25,M,2024-01-15 08:30:00,2024-01-15 09:15:00,Station A,Station B,45,3.5
2,102,32,F,2024-01-15 09:00:00,2024-01-15 09:20:00,Station B,Station C,20,2.0
3,103,28,M,2024-01-15 07:45:00,2024-01-15 08:30:00,Station A,Station D,45,3.5
4,104,45,F,2024-01-15 10:15:00,2024-01-15 11:00:00,Station C,Station A,45,3.5
5,105,22,M,2024-01-15 08:00:00,2024-01-15 08:15:00,Station A,Station B,15,1.5
6,106,35,F,2024-01-15 11:30:00,2024-01-15 12:10:00,Station B,Station D,40,3.0
7,107,55,M,2024-01-15 07:30:00,2024-01-15 08:15:00,Station D,Station C,45,3.5
8,108,29,F,2024-01-15 09:45:00,2024-01-15 10:05:00,Station A,Station C,20,2.0
9,109,41,M,2024-01-15 08:30:00,2024-01-15 09:20:00,Station C,Station B,50,4.0
10,110,26,F,2024-01-15 10:00:00,2024-01-15 10:25:00,Station A,Station D,25,2.5
